2026-08-21 19:16 | brkX2-4h | ETHUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | XRPUSDT | lolos 6/7 | belum: Vol rendah: 0.17x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | XLMUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | ONTUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | LINKUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | ZECUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:16 | brkX2-4h | ATOMUSDT | lolos 6/7 | belum: Vol rendah: 0.04x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | DOGEUSDT | lolos 6/7 | belum: Vol rendah: 0.10x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | CRVUSDT | lolos 6/7 | belum: Stoch%K 96.2 (max 89)
2026-08-21 19:16 | brkX2-4h | UNIUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | UTKUSDT | lolos 6/7 | belum: Supertrend masih Downtrend
2026-08-21 19:16 | brkX2-4h | NEARUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | INJUSDT | lolos 6/7 | belum: Vol rendah: 0.06x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | SHIBUSDT | lolos 6/7 | belum: Vol rendah: 0.13x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | DEXEUSDT | lolos 6/7 | belum: Vol rendah: 0.13x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | PEOPLEUSDT | lolos 6/7 | belum: Vol rendah: 0.19x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | NEXOUSDT | lolos 6/7 | belum: Vol rendah: 0.11x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | OSMOUSDT | lolos 6/7 | belum: Vol rendah: 0.03x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | GASUSDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | PROMUSDT | lolos 6/7 | belum: Vol rendah: 0.03x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | WBTCUSDT | lolos 6/7 | belum: ATR% 1.63% (min 2.0%)
2026-08-21 19:16 | brkX2-4h | SUIUSDT | lolos 6/7 | belum: Vol rendah: 0.12x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | PEPEUSDT | lolos 6/7 | belum: Vol rendah: 0.06x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | ORDIUSDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | PYTHUSDT | lolos 6/7 | belum: Vol rendah: 0.15x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | STRKUSDT | lolos 6/7 | belum: Stoch%K 96.5 (max 89)
2026-08-21 19:16 | brkX2-4h | WIFUSDT | lolos 6/7 | belum: Stoch%K 94.0 (max 89)
2026-08-21 19:16 | brkX2-4h | BOMEUSDT | lolos 6/7 | belum: Vol rendah: 0.05x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | BBUSDT | lolos 6/7 | belum: Vol rendah: 0.15x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | ZROUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:16 | brkX2-4h | TONUSDT | lolos 6/7 | belum: Supertrend masih Downtrend
2026-08-21 19:16 | brkX2-4h | POLUSDT | lolos 6/7 | belum: Vol rendah: 0.05x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | NEIROUSDT | lolos 6/7 | belum: Vol rendah: 0.05x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | TURBOUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:16 | brkX2-4h | BIOUSDT | lolos 6/7 | belum: Vol rendah: 0.04x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | TRUMPUSDT | lolos 6/7 | belum: Vol rendah: 0.08x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | BERAUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:16 | brkX2-4h | HEIUSDT | lolos 6/7 | belum: Vol rendah: 0.02x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | NILUSDT | lolos 6/7 | belum: Vol rendah: 0.16x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | MUBARAKUSDT | lolos 6/7 | belum: Vol rendah: 0.11x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | SPKUSDT | lolos 6/7 | belum: Vol rendah: 0.15x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | SKYUSDT | lolos 6/7 | belum: Vol rendah: 0.03x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | HEMIUSDT | lolos 6/7 | belum: Stoch%K 91.4 (max 89)
2026-08-21 19:16 | brkX2-4h | XPLUSDT | lolos 6/7 | belum: Vol rendah: 0.04x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | MORPHOUSDT | lolos 6/7 | belum: Vol rendah: 0.07x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | ALLOUSDT | lolos 6/7 | belum: Vol rendah: 0.01x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | BANKUSDT | lolos 6/7 | belum: Vol rendah: 0.06x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | 币安人生USDT | lolos 6/7 | belum: Vol rendah: 0.09x MA (min 0.25x)
2026-08-21 19:16 | brkX2-4h | ROBOUSDT | lolos 7/7 | belum: semua lolos
2026-08-21 19:16 | brkX2-4h | CHIPUSDT | lolos 6/7 | belum: Vol rendah: 0.11x MA (min 0.25x)
2026-08-21 19:19 | brkX2-12h | BTCUSDT | lolos 6/9 | belum: RSI<60 (skrg 88.8); Stoch%K<70 (skrg 91.5)
2026-08-21 19:19 | brkX2-12h | ETHUSDT | lolos 6/9 | belum: RSI<60 (skrg 89.6); Stoch%K<70 (skrg 90.7)
2026-08-21 19:19 | brkX2-12h | BNBUSDT | lolos 6/9 | belum: RSI<60 (skrg 83.7); Stoch%K<70 (skrg 91.3)
2026-08-21 19:19 | brkX2-12h | LTCUSDT | lolos 6/9 | belum: RSI<60 (skrg 82.2); Stoch%K<70 (skrg 87.0)
2026-08-21 19:19 | brkX2-12h | XRPUSDT | lolos 6/9 | belum: RSI<60 (skrg 90.4); Stoch%K<70 (skrg 86.6)
2026-08-21 19:19 | brkX2-12h | XLMUSDT | lolos 6/9 | belum: RSI<60 (skrg 79.2); Stoch%K<70 (skrg 85.2)
2026-08-21 19:19 | brkX2-12h | ETCUSDT | lolos 6/9 | belum: RSI<60 (skrg 77.2); Stoch%K<70 (skrg 92.7)
2026-08-21 19:19 | brkX2-12h | LINKUSDT | lolos 6/9 | belum: RSI<60 (skrg 88.9); Stoch%K<70 (skrg 87.2)
2026-08-21 19:19 | brkX2-12h | FETUSDT | lolos 6/9 | belum: RSI<60 (skrg 73.7); Stoch%K<70 (skrg 87.1)
2026-08-21 19:19 | brkX2-12h | DASHUSDT | lolos 6/9 | belum: RSI<60 (skrg 77.5); Stoch%K<70 (skrg 84.2)
2026-08-21 19:19 | brkX2-12h | ATOMUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 67.5); Stoch%K<70 (skrg 71.7)
2026-08-21 19:19 | brkX2-12h | ALGOUSDT | lolos 6/9 | belum: RSI<60 (skrg 76.6); Stoch%K<70 (skrg 95.9)
2026-08-21 19:19 | brkX2-12h | DOGEUSDT | lolos 6/9 | belum: RSI<60 (skrg 85.2); Stoch%K<70 (skrg 84.7)
2026-08-21 19:19 | brkX2-12h | HBARUSDT | lolos 6/9 | belum: RSI<60 (skrg 80.5); Stoch%K<70 (skrg 91.5)
2026-08-21 19:19 | brkX2-12h | STXUSDT | lolos 6/9 | belum: RSI<60 (skrg 82.2); Stoch%K<70 (skrg 88.3)
